rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
84,76561198384917806,1.83,231.67,0.15,0,6,5,49,96,1,9,4,0
84,76561199071109777,68.1,356.31,0.26,0.14,6,7,23,8,0,72,3,0
84,76561198117236013,12.17,396.23,0.08,0.33,10,7,67,26,33,41,3,0
84,76561198080075629,2.2,190.55,0.2,0.32,27,19,156,103,6,106,3,0
84,76561198162696486,46.12,85.65,0.22,0.06,14,9,132,144,7,9,1,0
84,76561198990535986,2.28,174.26,0.13,0,14,5,28,46,1,2,2,0
84,76561198319729353,4.4,72.28,0.14,0.1,6,3,64,0,2,0,3,0
84,76561198130234222,31.4,197.64,0.39,0.14,30,15,224,65,3,507,4,0
84,76561198869348427,23.35,401.54,0.15,0.77,5,6,10,27,2,68,2,0
84,76561198272331422,7.85,167.14,0.17,0.04,6,3,33,24,6,0,2,0
84,76561198138318347,3.92,173.3,0.43,0.04,24,24,69,161,6,35,2,0
84,76561198269029518,82.28,266.09,0.11,0,9,7,36,42,3,35,9,0
84,76561198862170714,3.83,268.75,0.25,0.06,28,15,66,56,1,0,7,0
84,76561198142003666,1.2,49.94,0.08,0.08,12,7,94,4,0,20,9,0
84,76561199026860041,99.2,484.48,0.23,0.34,17,7,55,9,1,0,4,0
84,76561198149416174,8.77,416.87,0.26,0.09,43,21,98,205,37,65,20,0
84,76561198799057995,5.1,253.83,0.16,0.09,42,10,216,0,12,100,3,0
84,76561198144727843,1.57,244.33,0.24,0.3,11,6,176,85,17,29,4,0
84,76561198004815820,18.38,152.18,0.26,0.11,108,24,456,0,10,80,10,0
84,76561198297153615,5.13,204.92,0.28,0,9,6,69,108,0,2,11,0
84,76561198102142080,2.63,132.13,0.29,0.03,41,20,341,49,11,1,24,0
84,76561199060420480,13.82,105.36,0.1,0.2,31,22,63,26,52,107,33,0
84,76561198170297290,12.7,600.64,0.11,0.12,13,8,221,118,32,29,4,0
84,76561198326835668,7.55,135.75,0.25,0,70,22,234,63,1,87,55,0
84,76561198326201439,2.8,189.17,0.12,0,7,3,63,0,0,1,7,0
